2025-03-08T14:03:56.557 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:57.024 +0530 [V]  - lastNotificationReceivedTime = 1741422837023, INFO
2025-03-08T14:03:57.024 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:57.025 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:57.026 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:57.026 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:57.028 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:57.028 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:57.746 +0530 [V]  - lastNotificationReceivedTime = 1741422837746, INFO
2025-03-08T14:03:57.750 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:57.761 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:57.771 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:57.773 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:57.778 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:57.779 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:58.562 +0530 [V]  - lastNotificationReceivedTime = 1741422838562, INFO
2025-03-08T14:03:58.573 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:58.576 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:58.576 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:58.577 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:58.579 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:58.586 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:00.119 +0530 [V]  - lastNotificationReceivedTime = 1741422840119, INFO
2025-03-08T14:04:00.126 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:00.141 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:00.146 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:00.148 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:00.174 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:00.174 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:00.592 +0530 [V]  - lastNotificationReceivedTime = 1741422840587, INFO
2025-03-08T14:04:00.601 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:00.605 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:00.607 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:00.609 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:00.611 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:00.613 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:01.663 +0530 [V]  - lastNotificationReceivedTime = 1741422841662, INFO
2025-03-08T14:04:01.669 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:01.674 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:01.675 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:01.676 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:01.678 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:01.679 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:02.148 +0530 [V]  - lastNotificationReceivedTime = 1741422842147, INFO
2025-03-08T14:04:02.154 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:02.158 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:02.161 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:02.162 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:02.166 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:02.169 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:02.499 +0530 [V]  - lastNotificationReceivedTime = 1741422842498, INFO
2025-03-08T14:04:02.500 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:02.502 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:02.503 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:02.503 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:02.501 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:02.503 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:03.635 +0530 [V]  - lastNotificationReceivedTime = 1741422843634, INFO
2025-03-08T14:04:03.639 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:03.645 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:03.647 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:03.647 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:03.649 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:03.654 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:03.987 +0530 [V]  - lastNotificationReceivedTime = 1741422843984, INFO
2025-03-08T14:04:03.987 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:03.989 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:03.991 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:03.992 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:03.993 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:03.994 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:05.578 +0530 [V]  - lastNotificationReceivedTime = 1741422845578, INFO
2025-03-08T14:04:05.582 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:05.585 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:05.587 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:05.587 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:05.592 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:05.593 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:06.014 +0530 [V]  - lastNotificationReceivedTime = 1741422846014, INFO
2025-03-08T14:04:06.016 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:06.017 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:06.018 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:06.018 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:06.020 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:06.020 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:06.534 +0530 [V]  - lastNotificationReceivedTime = 1741422846534, INFO
2025-03-08T14:04:06.535 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:06.536 +0530 [V]  - Music filters passed, INFO
